ogbn-products sage fan-out 10 hidden 256,full batch fanout10,Micro 2 batches fanout10,Micro 4 batches fanout10,Micro 8 batches fanout10,Micro 16 batches fanout10,Micro 32 batches fanout10
average train time per epoch,0.03445839881896973,0.054108619689941406,0.11019690831502278,0.181260347366333,0.2857150236765544,0.5729991594950358
CUDA max memory consumption,13.033191204071045,6.646462440490723,3.3752965927124023,1.7053370475769043,0.879310131072998,0.4415717124938965
redundancy rate I (First Layer Input),1.0000009428736432,1.0400358291984395,1.121649321720273,1.2014956333164402,1.277042441099862,1.3509099909248412
