main start at this time 1666119723.799925
ogbn-arxiv
# Nodes: 169343
# Edges: 2315598
# Train: 90941
# Val: 29799
# Test: 48603
# Classes: 40

in feats:  128
Run 00 | Epoch 00061 | Loss 1.6599 | Train 0.5544 | Val 0.5621 | Test 0.5564
Run 00 | Epoch 00062 | Loss 1.6518 | Train 0.5559 | Val 0.5640 | Test 0.5578
Run 00 | Epoch 00063 | Loss 1.6437 | Train 0.5574 | Val 0.5645 | Test 0.5593
Run 00 | Epoch 00064 | Loss 1.6365 | Train 0.5588 | Val 0.5657 | Test 0.5603
Run 00 | Epoch 00065 | Loss 1.6292 | Train 0.5604 | Val 0.5670 | Test 0.5613
Run 00 | Epoch 00066 | Loss 1.6216 | Train 0.5619 | Val 0.5676 | Test 0.5626
Run 00 | Epoch 00067 | Loss 1.6144 | Train 0.5635 | Val 0.5687 | Test 0.5637
Run 00 | Epoch 00068 | Loss 1.6079 | Train 0.5649 | Val 0.5699 | Test 0.5655
Run 00 | Epoch 00069 | Loss 1.6010 | Train 0.5662 | Val 0.5715 | Test 0.5662
Run 00 | Epoch 00070 | Loss 1.5943 | Train 0.5678 | Val 0.5728 | Test 0.5675
Run 00 | Epoch 00071 | Loss 1.5878 | Train 0.5691 | Val 0.5745 | Test 0.5685
Run 00 | Epoch 00072 | Loss 1.5819 | Train 0.5703 | Val 0.5760 | Test 0.5696
Run 00 | Epoch 00073 | Loss 1.5756 | Train 0.5713 | Val 0.5772 | Test 0.5703
Run 00 | Epoch 00074 | Loss 1.5695 | Train 0.5724 | Val 0.5783 | Test 0.5713
Run 00 | Epoch 00075 | Loss 1.5635 | Train 0.5734 | Val 0.5791 | Test 0.5720
Run 00 | Epoch 00076 | Loss 1.5579 | Train 0.5745 | Val 0.5801 | Test 0.5727
Run 00 | Epoch 00077 | Loss 1.5527 | Train 0.5755 | Val 0.5811 | Test 0.5735
Run 00 | Epoch 00078 | Loss 1.5474 | Train 0.5763 | Val 0.5817 | Test 0.5741
Run 00 | Epoch 00079 | Loss 1.5420 | Train 0.5772 | Val 0.5828 | Test 0.5744
Run 00 | Epoch 00080 | Loss 1.5366 | Train 0.5780 | Val 0.5836 | Test 0.5751
Run 00 | Epoch 00081 | Loss 1.5316 | Train 0.5789 | Val 0.5842 | Test 0.5761
Run 00 | Epoch 00082 | Loss 1.5267 | Train 0.5801 | Val 0.5852 | Test 0.5770
Run 00 | Epoch 00083 | Loss 1.5223 | Train 0.5811 | Val 0.5863 | Test 0.5778
Run 00 | Epoch 00084 | Loss 1.5174 | Train 0.5822 | Val 0.5874 | Test 0.5786
Run 00 | Epoch 00085 | Loss 1.5123 | Train 0.5829 | Val 0.5883 | Test 0.5793
Run 00 | Epoch 00086 | Loss 1.5084 | Train 0.5839 | Val 0.5895 | Test 0.5802
Run 00 | Epoch 00087 | Loss 1.5037 | Train 0.5846 | Val 0.5902 | Test 0.5810
Run 00 | Epoch 00088 | Loss 1.4991 | Train 0.5855 | Val 0.5909 | Test 0.5815
Run 00 | Epoch 00089 | Loss 1.4948 | Train 0.5864 | Val 0.5918 | Test 0.5822
Run 00 | Epoch 00090 | Loss 1.4903 | Train 0.5872 | Val 0.5923 | Test 0.5829
Run 00 | Epoch 00091 | Loss 1.4867 | Train 0.5881 | Val 0.5931 | Test 0.5835
Run 00 | Epoch 00092 | Loss 1.4830 | Train 0.5889 | Val 0.5933 | Test 0.5842
Run 00 | Epoch 00093 | Loss 1.4788 | Train 0.5897 | Val 0.5942 | Test 0.5846
Run 00 | Epoch 00094 | Loss 1.4750 | Train 0.5905 | Val 0.5950 | Test 0.5852
Run 00 | Epoch 00095 | Loss 1.4711 | Train 0.5912 | Val 0.5960 | Test 0.5857
Run 00 | Epoch 00096 | Loss 1.4676 | Train 0.5916 | Val 0.5964 | Test 0.5864
Run 00 | Epoch 00097 | Loss 1.4638 | Train 0.5924 | Val 0.5971 | Test 0.5871
Run 00 | Epoch 00098 | Loss 1.4602 | Train 0.5931 | Val 0.5980 | Test 0.5879
Run 00 | Epoch 00099 | Loss 1.4573 | Train 0.5938 | Val 0.5987 | Test 0.5884
Run 00 | Epoch 00100 | Loss 1.4538 | Train 0.5943 | Val 0.5995 | Test 0.5888
Run 00 | Epoch 00101 | Loss 1.4498 | Train 0.5950 | Val 0.6004 | Test 0.5892
Run 00 | Epoch 00102 | Loss 1.4467 | Train 0.5958 | Val 0.6009 | Test 0.5898
Run 00 | Epoch 00103 | Loss 1.4439 | Train 0.5964 | Val 0.6015 | Test 0.5904
Run 00 | Epoch 00104 | Loss 1.4405 | Train 0.5969 | Val 0.6021 | Test 0.5908
Run 00 | Epoch 00105 | Loss 1.4378 | Train 0.5975 | Val 0.6028 | Test 0.5913
Run 00 | Epoch 00106 | Loss 1.4343 | Train 0.5981 | Val 0.6034 | Test 0.5920
Run 00 | Epoch 00107 | Loss 1.4314 | Train 0.5986 | Val 0.6039 | Test 0.5922
Run 00 | Epoch 00108 | Loss 1.4285 | Train 0.5992 | Val 0.6044 | Test 0.5928
Run 00 | Epoch 00109 | Loss 1.4254 | Train 0.5999 | Val 0.6049 | Test 0.5936
Run 00 | Epoch 00110 | Loss 1.4227 | Train 0.6006 | Val 0.6055 | Test 0.5942
Run 00 | Epoch 00111 | Loss 1.4198 | Train 0.6013 | Val 0.6060 | Test 0.5946
Run 00 | Epoch 00112 | Loss 1.4166 | Train 0.6018 | Val 0.6064 | Test 0.5951
Run 00 | Epoch 00113 | Loss 1.4140 | Train 0.6023 | Val 0.6068 | Test 0.5955
Run 00 | Epoch 00114 | Loss 1.4113 | Train 0.6028 | Val 0.6074 | Test 0.5958
Run 00 | Epoch 00115 | Loss 1.4095 | Train 0.6034 | Val 0.6078 | Test 0.5963
Run 00 | Epoch 00116 | Loss 1.4061 | Train 0.6038 | Val 0.6082 | Test 0.5969
Run 00 | Epoch 00117 | Loss 1.4037 | Train 0.6046 | Val 0.6088 | Test 0.5975
Run 00 | Epoch 00118 | Loss 1.4012 | Train 0.6051 | Val 0.6093 | Test 0.5979
Run 00 | Epoch 00119 | Loss 1.3989 | Train 0.6057 | Val 0.6099 | Test 0.5982
Run 00 | Epoch 00120 | Loss 1.3960 | Train 0.6061 | Val 0.6104 | Test 0.5987
Run 00 | Epoch 00121 | Loss 1.3944 | Train 0.6065 | Val 0.6108 | Test 0.5990
Run 00 | Epoch 00122 | Loss 1.3920 | Train 0.6069 | Val 0.6113 | Test 0.5995
