main start at this time 1666039302.9745002
-----------------------------------------before load data 
 Nvidia-smi: 0.30712890625 GB
    Memory Allocated: 0.0  GigaBytes
Max Memory Allocated: 0.0  GigaBytes

#nodes: 2449029
#edges: 123718024
#classes: 47
success----------------------------------------
196571
39255
2164782
# Nodes: 2400608
# Edges: 123718024
# Train: 196571
# Val: 39255
# Test: 2164782
# Classes: 47

in feats:  100
========    -------- the batch size current is  12286
Run 00 | Epoch 00058 | Loss 0.4388 | Train 0.6764 | Val 0.6697 | Test 0.5396
Run 00 | Epoch 00059 | Loss 0.4344 | Train 0.6762 | Val 0.6698 | Test 0.5436
Run 00 | Epoch 00060 | Loss 0.4175 | Train 0.6763 | Val 0.6692 | Test 0.5398
Run 00 | Epoch 00061 | Loss 0.4422 | Train 0.6733 | Val 0.6659 | Test 0.5405
Run 00 | Epoch 00062 | Loss 0.4226 | Train 0.6723 | Val 0.6638 | Test 0.5412
Run 00 | Epoch 00063 | Loss 0.4446 | Train 0.6718 | Val 0.6651 | Test 0.5428
Run 00 | Epoch 00064 | Loss 0.4385 | Train 0.6801 | Val 0.6747 | Test 0.5492
Run 00 | Epoch 00065 | Loss 0.4245 | Train 0.6781 | Val 0.6722 | Test 0.5485
Run 00 | Epoch 00066 | Loss 0.4279 | Train 0.6764 | Val 0.6719 | Test 0.5476
Run 00 | Epoch 00067 | Loss 0.4426 | Train 0.6758 | Val 0.6697 | Test 0.5465
Run 00 | Epoch 00068 | Loss 0.4273 | Train 0.6670 | Val 0.6621 | Test 0.5442
Run 00 | Epoch 00069 | Loss 0.4307 | Train 0.6665 | Val 0.6615 | Test 0.5427
Run 00 | Epoch 00070 | Loss 0.4334 | Train 0.6733 | Val 0.6663 | Test 0.5485
Run 00 | Epoch 00071 | Loss 0.4217 | Train 0.6718 | Val 0.6659 | Test 0.5457
Run 00 | Epoch 00072 | Loss 0.4350 | Train 0.6725 | Val 0.6665 | Test 0.5453
Run 00 | Epoch 00073 | Loss 0.4078 | Train 0.6796 | Val 0.6732 | Test 0.5474
Run 00 | Epoch 00074 | Loss 0.4285 | Train 0.6664 | Val 0.6626 | Test 0.5456
Run 00 | Epoch 00075 | Loss 0.4327 | Train 0.6698 | Val 0.6624 | Test 0.5446
Run 00 | Epoch 00076 | Loss 0.4110 | Train 0.6644 | Val 0.6571 | Test 0.5392
Run 00 | Epoch 00077 | Loss 0.4267 | Train 0.6681 | Val 0.6647 | Test 0.5464
Run 00 | Epoch 00078 | Loss 0.4206 | Train 0.6688 | Val 0.6639 | Test 0.5451
Run 00 | Epoch 00079 | Loss 0.4137 | Train 0.6648 | Val 0.6605 | Test 0.5421
Run 00 | Epoch 00080 | Loss 0.4511 | Train 0.6657 | Val 0.6611 | Test 0.5435
Run 00 | Epoch 00081 | Loss 0.4266 | Train 0.6614 | Val 0.6582 | Test 0.5406
Run 00 | Epoch 00082 | Loss 0.4182 | Train 0.6682 | Val 0.6624 | Test 0.5427
Run 00 | Epoch 00083 | Loss 0.4229 | Train 0.6686 | Val 0.6644 | Test 0.5451
Run 00 | Epoch 00084 | Loss 0.4338 | Train 0.6653 | Val 0.6610 | Test 0.5401
Run 00 | Epoch 00085 | Loss 0.4264 | Train 0.6594 | Val 0.6575 | Test 0.5391
Run 00 | Epoch 00086 | Loss 0.4248 | Train 0.6587 | Val 0.6544 | Test 0.5398
Run 00 | Epoch 00087 | Loss 0.4313 | Train 0.6619 | Val 0.6589 | Test 0.5404
Run 00 | Epoch 00088 | Loss 0.4322 | Train 0.6620 | Val 0.6579 | Test 0.5414
Run 00 | Epoch 00089 | Loss 0.4072 | Train 0.6610 | Val 0.6596 | Test 0.5437
Run 00 | Epoch 00090 | Loss 0.4405 | Train 0.6624 | Val 0.6592 | Test 0.5442
Run 00 | Epoch 00091 | Loss 0.4277 | Train 0.6662 | Val 0.6622 | Test 0.5457
Run 00 | Epoch 00092 | Loss 0.4018 | Train 0.6562 | Val 0.6514 | Test 0.5375
Run 00 | Epoch 00093 | Loss 0.4124 | Train 0.6563 | Val 0.6543 | Test 0.5434
Run 00 | Epoch 00094 | Loss 0.4116 | Train 0.6626 | Val 0.6587 | Test 0.5420
Run 00 | Epoch 00095 | Loss 0.4115 | Train 0.6599 | Val 0.6582 | Test 0.5417
Run 00 | Epoch 00096 | Loss 0.4217 | Train 0.6650 | Val 0.6613 | Test 0.5422
Run 00 | Epoch 00097 | Loss 0.4219 | Train 0.6604 | Val 0.6569 | Test 0.5411
Run 00 | Epoch 00098 | Loss 0.4317 | Train 0.6613 | Val 0.6587 | Test 0.5428
Run 00 | Epoch 00099 | Loss 0.4032 | Train 0.6617 | Val 0.6573 | Test 0.5416
Run 00 | Epoch 00100 | Loss 0.4094 | Train 0.6626 | Val 0.6601 | Test 0.5431
Run 00 | Epoch 00101 | Loss 0.4232 | Train 0.6653 | Val 0.6620 | Test 0.5411
Run 00 | Epoch 00102 | Loss 0.4099 | Train 0.6638 | Val 0.6612 | Test 0.5400
Run 00 | Epoch 00103 | Loss 0.4265 | Train 0.6619 | Val 0.6586 | Test 0.5413
Run 00 | Epoch 00104 | Loss 0.4149 | Train 0.6583 | Val 0.6550 | Test 0.5404
Run 00 | Epoch 00105 | Loss 0.4019 | Train 0.6711 | Val 0.6704 | Test 0.5522
Run 00 | Epoch 00106 | Loss 0.4246 | Train 0.6686 | Val 0.6654 | Test 0.5506
Run 00 | Epoch 00107 | Loss 0.4164 | Train 0.6781 | Val 0.6738 | Test 0.5536
Run 00 | Epoch 00108 | Loss 0.4111 | Train 0.6737 | Val 0.6701 | Test 0.5546
Run 00 | Epoch 00109 | Loss 0.4203 | Train 0.6657 | Val 0.6629 | Test 0.5489
