main start at this time 1665549018.3637514
-----------------------------------------before load data 
 Nvidia-smi: 0.30712890625 GB
    Memory Allocated: 0.0  GigaBytes
Max Memory Allocated: 0.0  GigaBytes

#nodes: 2449029
#edges: 123718024
#classes: 47
success----------------------------------------
196571
39255
2164782
# Nodes: 2400608
# Edges: 123718024
# Train: 196571
# Val: 39255
# Test: 2164782
# Classes: 47

in feats:  100
Run 00 | Epoch 00058 | Loss 1.8010 | Train 0.5070 | Val 0.4972 | Test 0.3624
Run 00 | Epoch 00059 | Loss 1.7763 | Train 0.5137 | Val 0.5038 | Test 0.3676
Run 00 | Epoch 00060 | Loss 1.7463 | Train 0.5208 | Val 0.5100 | Test 0.3728
Run 00 | Epoch 00061 | Loss 1.7251 | Train 0.5277 | Val 0.5166 | Test 0.3780
Run 00 | Epoch 00062 | Loss 1.7003 | Train 0.5341 | Val 0.5226 | Test 0.3831
Run 00 | Epoch 00063 | Loss 1.6835 | Train 0.5406 | Val 0.5296 | Test 0.3881
Run 00 | Epoch 00064 | Loss 1.6595 | Train 0.5467 | Val 0.5360 | Test 0.3930
Run 00 | Epoch 00065 | Loss 1.6442 | Train 0.5524 | Val 0.5415 | Test 0.3976
Run 00 | Epoch 00066 | Loss 1.6199 | Train 0.5574 | Val 0.5466 | Test 0.4022
Run 00 | Epoch 00067 | Loss 1.6025 | Train 0.5622 | Val 0.5508 | Test 0.4064
Run 00 | Epoch 00068 | Loss 1.5789 | Train 0.5666 | Val 0.5556 | Test 0.4104
Run 00 | Epoch 00069 | Loss 1.5549 | Train 0.5706 | Val 0.5597 | Test 0.4142
Run 00 | Epoch 00070 | Loss 1.5382 | Train 0.5743 | Val 0.5634 | Test 0.4177
Run 00 | Epoch 00071 | Loss 1.5274 | Train 0.5774 | Val 0.5670 | Test 0.4210
Run 00 | Epoch 00072 | Loss 1.5098 | Train 0.5802 | Val 0.5706 | Test 0.4241
Run 00 | Epoch 00073 | Loss 1.4957 | Train 0.5831 | Val 0.5744 | Test 0.4271
Run 00 | Epoch 00074 | Loss 1.4701 | Train 0.5859 | Val 0.5771 | Test 0.4299
Run 00 | Epoch 00075 | Loss 1.4551 | Train 0.5882 | Val 0.5797 | Test 0.4326
Run 00 | Epoch 00076 | Loss 1.4460 | Train 0.5906 | Val 0.5823 | Test 0.4351
Run 00 | Epoch 00077 | Loss 1.4207 | Train 0.5927 | Val 0.5851 | Test 0.4375
Run 00 | Epoch 00078 | Loss 1.4037 | Train 0.5947 | Val 0.5869 | Test 0.4398
Run 00 | Epoch 00079 | Loss 1.3878 | Train 0.5965 | Val 0.5892 | Test 0.4419
Run 00 | Epoch 00080 | Loss 1.3731 | Train 0.5982 | Val 0.5904 | Test 0.4439
Run 00 | Epoch 00081 | Loss 1.3574 | Train 0.5999 | Val 0.5918 | Test 0.4460
Run 00 | Epoch 00082 | Loss 1.3408 | Train 0.6016 | Val 0.5937 | Test 0.4478
Run 00 | Epoch 00083 | Loss 1.3248 | Train 0.6032 | Val 0.5953 | Test 0.4496
Run 00 | Epoch 00084 | Loss 1.3040 | Train 0.6051 | Val 0.5975 | Test 0.4513
Run 00 | Epoch 00085 | Loss 1.2991 | Train 0.6068 | Val 0.5992 | Test 0.4530
Run 00 | Epoch 00086 | Loss 1.2814 | Train 0.6081 | Val 0.6003 | Test 0.4545
Run 00 | Epoch 00087 | Loss 1.2683 | Train 0.6091 | Val 0.6013 | Test 0.4560
