main start at this time 1666029218.0691545
-----------------------------------------before load data 
 Nvidia-smi: 0.30712890625 GB
    Memory Allocated: 0.0  GigaBytes
Max Memory Allocated: 0.0  GigaBytes

#nodes: 2449029
#edges: 123718024
#classes: 47
success----------------------------------------
196571
39255
2164782
# Nodes: 2400608
# Edges: 123718024
# Train: 196571
# Val: 39255
# Test: 2164782
# Classes: 47

in feats:  100
========    -------- the batch size current is  12289
Run 00 | Epoch 00058 | Loss 0.4487 | Train 0.6862 | Val 0.6804 | Test 0.5417
Run 00 | Epoch 00059 | Loss 0.4557 | Train 0.6861 | Val 0.6798 | Test 0.5431
Run 00 | Epoch 00060 | Loss 0.4300 | Train 0.6872 | Val 0.6806 | Test 0.5425
Run 00 | Epoch 00061 | Loss 0.4559 | Train 0.6882 | Val 0.6817 | Test 0.5434
Run 00 | Epoch 00062 | Loss 0.4395 | Train 0.6863 | Val 0.6785 | Test 0.5415
Run 00 | Epoch 00063 | Loss 0.4570 | Train 0.6854 | Val 0.6778 | Test 0.5421
Run 00 | Epoch 00064 | Loss 0.4532 | Train 0.6831 | Val 0.6749 | Test 0.5392
Run 00 | Epoch 00065 | Loss 0.4436 | Train 0.6874 | Val 0.6805 | Test 0.5435
Run 00 | Epoch 00066 | Loss 0.4428 | Train 0.6831 | Val 0.6767 | Test 0.5403
Run 00 | Epoch 00067 | Loss 0.4612 | Train 0.6805 | Val 0.6711 | Test 0.5378
Run 00 | Epoch 00068 | Loss 0.4417 | Train 0.6770 | Val 0.6692 | Test 0.5379
Run 00 | Epoch 00069 | Loss 0.4413 | Train 0.6792 | Val 0.6709 | Test 0.5371
Run 00 | Epoch 00070 | Loss 0.4432 | Train 0.6810 | Val 0.6727 | Test 0.5393
Run 00 | Epoch 00071 | Loss 0.4386 | Train 0.6834 | Val 0.6754 | Test 0.5416
Run 00 | Epoch 00072 | Loss 0.4523 | Train 0.6797 | Val 0.6717 | Test 0.5396
Run 00 | Epoch 00073 | Loss 0.4255 | Train 0.6835 | Val 0.6763 | Test 0.5408
Run 00 | Epoch 00074 | Loss 0.4461 | Train 0.6827 | Val 0.6766 | Test 0.5424
Run 00 | Epoch 00075 | Loss 0.4469 | Train 0.6787 | Val 0.6705 | Test 0.5380
Run 00 | Epoch 00076 | Loss 0.4229 | Train 0.6798 | Val 0.6722 | Test 0.5380
Run 00 | Epoch 00077 | Loss 0.4412 | Train 0.6800 | Val 0.6726 | Test 0.5393
Run 00 | Epoch 00078 | Loss 0.4406 | Train 0.6813 | Val 0.6738 | Test 0.5412
Run 00 | Epoch 00079 | Loss 0.4193 | Train 0.6770 | Val 0.6672 | Test 0.5362
Run 00 | Epoch 00080 | Loss 0.4640 | Train 0.6780 | Val 0.6702 | Test 0.5382
Run 00 | Epoch 00081 | Loss 0.4482 | Train 0.6814 | Val 0.6742 | Test 0.5415
Run 00 | Epoch 00082 | Loss 0.4374 | Train 0.6793 | Val 0.6714 | Test 0.5388
Run 00 | Epoch 00083 | Loss 0.4319 | Train 0.6814 | Val 0.6740 | Test 0.5420
Run 00 | Epoch 00084 | Loss 0.4470 | Train 0.6807 | Val 0.6735 | Test 0.5418
Run 00 | Epoch 00085 | Loss 0.4449 | Train 0.6790 | Val 0.6725 | Test 0.5422
Run 00 | Epoch 00086 | Loss 0.4286 | Train 0.6784 | Val 0.6710 | Test 0.5416
Run 00 | Epoch 00087 | Loss 0.4365 | Train 0.6811 | Val 0.6732 | Test 0.5430
Run 00 | Epoch 00088 | Loss 0.4331 | Train 0.6801 | Val 0.6739 | Test 0.5435
Run 00 | Epoch 00089 | Loss 0.4175 | Train 0.6780 | Val 0.6702 | Test 0.5399
Run 00 | Epoch 00090 | Loss 0.4468 | Train 0.6753 | Val 0.6692 | Test 0.5394
Run 00 | Epoch 00091 | Loss 0.4395 | Train 0.6761 | Val 0.6692 | Test 0.5403
Run 00 | Epoch 00092 | Loss 0.4159 | Train 0.6756 | Val 0.6695 | Test 0.5384
Run 00 | Epoch 00093 | Loss 0.4273 | Train 0.6741 | Val 0.6671 | Test 0.5383
Run 00 | Epoch 00094 | Loss 0.4161 | Train 0.6759 | Val 0.6680 | Test 0.5396
Run 00 | Epoch 00095 | Loss 0.4244 | Train 0.6741 | Val 0.6663 | Test 0.5388
Run 00 | Epoch 00096 | Loss 0.4289 | Train 0.6716 | Val 0.6635 | Test 0.5353
Run 00 | Epoch 00097 | Loss 0.4336 | Train 0.6709 | Val 0.6640 | Test 0.5386
Run 00 | Epoch 00098 | Loss 0.4355 | Train 0.6733 | Val 0.6663 | Test 0.5375
Run 00 | Epoch 00099 | Loss 0.4198 | Train 0.6712 | Val 0.6656 | Test 0.5374
Run 00 | Epoch 00100 | Loss 0.4309 | Train 0.6717 | Val 0.6654 | Test 0.5383
Run 00 | Epoch 00101 | Loss 0.4345 | Train 0.6728 | Val 0.6649 | Test 0.5399
Run 00 | Epoch 00102 | Loss 0.4222 | Train 0.6715 | Val 0.6635 | Test 0.5379
Run 00 | Epoch 00103 | Loss 0.4419 | Train 0.6724 | Val 0.6657 | Test 0.5412
Run 00 | Epoch 00104 | Loss 0.4262 | Train 0.6709 | Val 0.6631 | Test 0.5407
Run 00 | Epoch 00105 | Loss 0.4136 | Train 0.6740 | Val 0.6682 | Test 0.5424
Run 00 | Epoch 00106 | Loss 0.4363 | Train 0.6695 | Val 0.6631 | Test 0.5380
Run 00 | Epoch 00107 | Loss 0.4239 | Train 0.6705 | Val 0.6628 | Test 0.5362
Run 00 | Epoch 00108 | Loss 0.4277 | Train 0.6708 | Val 0.6630 | Test 0.5398
Run 00 | Epoch 00109 | Loss 0.4400 | Train 0.6669 | Val 0.6603 | Test 0.5358
Run 00 | Epoch 00110 | Loss 0.4186 | Train 0.6695 | Val 0.6622 | Test 0.5374
Run 00 | Epoch 00111 | Loss 0.4242 | Train 0.6718 | Val 0.6638 | Test 0.5391
Run 00 | Epoch 00112 | Loss 0.4119 | Train 0.6725 | Val 0.6641 | Test 0.5421
Run 00 | Epoch 00113 | Loss 0.4282 | Train 0.6701 | Val 0.6611 | Test 0.5383
Run 00 | Epoch 00114 | Loss 0.4221 | Train 0.6734 | Val 0.6645 | Test 0.5397
Run 00 | Epoch 00115 | Loss 0.4172 | Train 0.6724 | Val 0.6637 | Test 0.5397
Run 00 | Epoch 00116 | Loss 0.4132 | Train 0.6651 | Val 0.6569 | Test 0.5359
Run 00 | Epoch 00117 | Loss 0.4322 | Train 0.6696 | Val 0.6627 | Test 0.5410
Run 00 | Epoch 00118 | Loss 0.4089 | Train 0.6722 | Val 0.6648 | Test 0.5419
Run 00 | Epoch 00119 | Loss 0.4071 | Train 0.6746 | Val 0.6682 | Test 0.5464
Run 00 | Epoch 00120 | Loss 0.4144 | Train 0.6717 | Val 0.6648 | Test 0.5420
Run 00 | Epoch 00121 | Loss 0.4335 | Train 0.6749 | Val 0.6680 | Test 0.5466
Run 00 | Epoch 00122 | Loss 0.4206 | Train 0.6725 | Val 0.6652 | Test 0.5463
Run 00 | Epoch 00123 | Loss 0.4220 | Train 0.6739 | Val 0.6682 | Test 0.5490
Run 00 | Epoch 00124 | Loss 0.4201 | Train 0.6685 | Val 0.6625 | Test 0.5439
Run 00 | Epoch 00125 | Loss 0.4164 | Train 0.6709 | Val 0.6646 | Test 0.5445
Run 00 | Epoch 00126 | Loss 0.4219 | Train 0.6688 | Val 0.6638 | Test 0.5450
Run 00 | Epoch 00127 | Loss 0.4168 | Train 0.6698 | Val 0.6634 | Test 0.5449
Run 00 | Epoch 00128 | Loss 0.4045 | Train 0.6681 | Val 0.6608 | Test 0.5407
Run 00 | Epoch 00129 | Loss 0.4127 | Train 0.6701 | Val 0.6637 | Test 0.5449
Run 00 | Epoch 00130 | Loss 0.4191 | Train 0.6738 | Val 0.6674 | Test 0.5484
Run 00 | Epoch 00131 | Loss 0.4234 | Train 0.6698 | Val 0.6635 | Test 0.5444
Run 00 | Epoch 00132 | Loss 0.4029 | Train 0.6688 | Val 0.6627 | Test 0.5449
Run 00 | Epoch 00133 | Loss 0.4076 | Train 0.6609 | Val 0.6534 | Test 0.5374
Run 00 | Epoch 00134 | Loss 0.4220 | Train 0.6624 | Val 0.6559 | Test 0.5400
Run 00 | Epoch 00135 | Loss 0.4132 | Train 0.6671 | Val 0.6605 | Test 0.5428
Run 00 | Epoch 00136 | Loss 0.4125 | Train 0.6655 | Val 0.6592 | Test 0.5436
Run 00 | Epoch 00137 | Loss 0.4118 | Train 0.6712 | Val 0.6667 | Test 0.5484
Run 00 | Epoch 00138 | Loss 0.4270 | Train 0.6736 | Val 0.6681 | Test 0.5508
Run 00 | Epoch 00139 | Loss 0.4072 | Train 0.6753 | Val 0.6676 | Test 0.5521
Run 00 | Epoch 00140 | Loss 0.4205 | Train 0.6665 | Val 0.6600 | Test 0.5471
Run 00 | Epoch 00141 | Loss 0.4089 | Train 0.6765 | Val 0.6706 | Test 0.5525
Run 00 | Epoch 00142 | Loss 0.4192 | Train 0.6749 | Val 0.6684 | Test 0.5538
Run 00 | Epoch 00143 | Loss 0.4074 | Train 0.6781 | Val 0.6714 | Test 0.5531
Run 00 | Epoch 00144 | Loss 0.3903 | Train 0.6742 | Val 0.6684 | Test 0.5509
Run 00 | Epoch 00145 | Loss 0.4111 | Train 0.6695 | Val 0.6635 | Test 0.5484
Run 00 | Epoch 00146 | Loss 0.4187 | Train 0.6701 | Val 0.6652 | Test 0.5511
Run 00 | Epoch 00147 | Loss 0.4062 | Train 0.6727 | Val 0.6651 | Test 0.5489
Run 00 | Epoch 00148 | Loss 0.4266 | Train 0.6788 | Val 0.6718 | Test 0.5535
Run 00 | Epoch 00149 | Loss 0.4156 | Train 0.6744 | Val 0.6676 | Test 0.5526
Run 00 | Epoch 00150 | Loss 0.4140 | Train 0.6764 | Val 0.6701 | Test 0.5542
Run 00 | Epoch 00151 | Loss 0.4045 | Train 0.6749 | Val 0.6681 | Test 0.5523
Run 00 | Epoch 00152 | Loss 0.4066 | Train 0.6754 | Val 0.6698 | Test 0.5563
Run 00 | Epoch 00153 | Loss 0.4036 | Train 0.6764 | Val 0.6711 | Test 0.5557
Run 00 | Epoch 00154 | Loss 0.4217 | Train 0.6796 | Val 0.6737 | Test 0.5559
Run 00 | Epoch 00155 | Loss 0.4010 | Train 0.6789 | Val 0.6731 | Test 0.5564
Run 00 | Epoch 00156 | Loss 0.3916 | Train 0.6796 | Val 0.6739 | Test 0.5588
Run 00 | Epoch 00157 | Loss 0.4096 | Train 0.6811 | Val 0.6741 | Test 0.5574
Run 00 | Epoch 00158 | Loss 0.4103 | Train 0.6813 | Val 0.6743 | Test 0.5565
Run 00 | Epoch 00159 | Loss 0.4170 | Train 0.6815 | Val 0.6757 | Test 0.5585
Run 00 | Epoch 00160 | Loss 0.4176 | Train 0.6811 | Val 0.6757 | Test 0.5604
Run 00 | Epoch 00161 | Loss 0.4012 | Train 0.6775 | Val 0.6713 | Test 0.5573
Run 00 | Epoch 00162 | Loss 0.4091 | Train 0.6836 | Val 0.6775 | Test 0.5604
Run 00 | Epoch 00163 | Loss 0.4082 | Train 0.6754 | Val 0.6719 | Test 0.5579
Run 00 | Epoch 00164 | Loss 0.3975 | Train 0.6794 | Val 0.6749 | Test 0.5592
Run 00 | Epoch 00165 | Loss 0.4087 | Train 0.6709 | Val 0.6657 | Test 0.5515
Run 00 | Epoch 00166 | Loss 0.4048 | Train 0.6759 | Val 0.6714 | Test 0.5542
Run 00 | Epoch 00167 | Loss 0.4192 | Train 0.6763 | Val 0.6721 | Test 0.5561
Run 00 | Epoch 00168 | Loss 0.3959 | Train 0.6810 | Val 0.6751 | Test 0.5586
Run 00 | Epoch 00169 | Loss 0.4049 | Train 0.6785 | Val 0.6727 | Test 0.5562
Run 00 | Epoch 00170 | Loss 0.4086 | Train 0.6841 | Val 0.6775 | Test 0.5598
Run 00 | Epoch 00171 | Loss 0.4079 | Train 0.6841 | Val 0.6779 | Test 0.5636
Run 00 | Epoch 00172 | Loss 0.3916 | Train 0.6750 | Val 0.6706 | Test 0.5565
Run 00 | Epoch 00173 | Loss 0.4116 | Train 0.6843 | Val 0.6779 | Test 0.5605
Run 00 | Epoch 00174 | Loss 0.4009 | Train 0.6832 | Val 0.6774 | Test 0.5605
Run 00 | Epoch 00175 | Loss 0.4036 | Train 0.6897 | Val 0.6855 | Test 0.5670
Run 00 | Epoch 00176 | Loss 0.3982 | Train 0.6834 | Val 0.6787 | Test 0.5631
Run 00 | Epoch 00177 | Loss 0.4234 | Train 0.6823 | Val 0.6777 | Test 0.5613
Run 00 | Epoch 00178 | Loss 0.4117 | Train 0.6836 | Val 0.6780 | Test 0.5623
Run 00 | Epoch 00179 | Loss 0.4154 | Train 0.6907 | Val 0.6873 | Test 0.5673
Run 00 | Epoch 00180 | Loss 0.3910 | Train 0.6869 | Val 0.6801 | Test 0.5628
Run 00 | Epoch 00181 | Loss 0.4124 | Train 0.6878 | Val 0.6800 | Test 0.5642
Run 00 | Epoch 00182 | Loss 0.4111 | Train 0.6885 | Val 0.6831 | Test 0.5654
Run 00 | Epoch 00183 | Loss 0.4049 | Train 0.6836 | Val 0.6797 | Test 0.5648
Run 00 | Epoch 00184 | Loss 0.3958 | Train 0.6865 | Val 0.6811 | Test 0.5645
Run 00 | Epoch 00185 | Loss 0.4077 | Train 0.6782 | Val 0.6754 | Test 0.5626
Run 00 | Epoch 00186 | Loss 0.4081 | Train 0.6878 | Val 0.6819 | Test 0.5647
Run 00 | Epoch 00187 | Loss 0.3993 | Train 0.6867 | Val 0.6815 | Test 0.5648
Run 00 | Epoch 00188 | Loss 0.4005 | Train 0.6844 | Val 0.6793 | Test 0.5630
Run 00 | Epoch 00189 | Loss 0.3933 | Train 0.6845 | Val 0.6800 | Test 0.5628
Run 00 | Epoch 00190 | Loss 0.4253 | Train 0.6867 | Val 0.6801 | Test 0.5642
Run 00 | Epoch 00191 | Loss 0.3823 | Train 0.6878 | Val 0.6830 | Test 0.5651
Run 00 | Epoch 00192 | Loss 0.4054 | Train 0.6821 | Val 0.6764 | Test 0.5600
Run 00 | Epoch 00193 | Loss 0.4096 | Train 0.6888 | Val 0.6837 | Test 0.5666
Run 00 | Epoch 00194 | Loss 0.4042 | Train 0.6895 | Val 0.6849 | Test 0.5687
Run 00 | Epoch 00195 | Loss 0.4109 | Train 0.6827 | Val 0.6771 | Test 0.5626
Run 00 | Epoch 00196 | Loss 0.3931 | Train 0.6873 | Val 0.6822 | Test 0.5650
Run 00 | Epoch 00197 | Loss 0.4164 | Train 0.6857 | Val 0.6807 | Test 0.5632
Run 00 | Epoch 00198 | Loss 0.3986 | Train 0.6876 | Val 0.6819 | Test 0.5651
Run 00 | Epoch 00199 | Loss 0.4086 | Train 0.6840 | Val 0.6781 | Test 0.5638
Run 00 | Epoch 00200 | Loss 0.4162 | Train 0.6815 | Val 0.6768 | Test 0.5618
Run 00 | Epoch 00201 | Loss 0.3981 | Train 0.6904 | Val 0.6853 | Test 0.5676
Run 00 | Epoch 00202 | Loss 0.4158 | Train 0.6853 | Val 0.6818 | Test 0.5667
Run 00 | Epoch 00203 | Loss 0.4162 | Train 0.6819 | Val 0.6785 | Test 0.5627
Run 00 | Epoch 00204 | Loss 0.4084 | Train 0.6880 | Val 0.6832 | Test 0.5657
Run 00 | Epoch 00205 | Loss 0.4060 | Train 0.6911 | Val 0.6873 | Test 0.5673
Run 00 | Epoch 00206 | Loss 0.3965 | Train 0.6878 | Val 0.6844 | Test 0.5661
Run 00 | Epoch 00207 | Loss 0.3978 | Train 0.6886 | Val 0.6844 | Test 0.5694
Run 00 | Epoch 00208 | Loss 0.4186 | Train 0.6840 | Val 0.6815 | Test 0.5642
Run 00 | Epoch 00209 | Loss 0.4063 | Train 0.6934 | Val 0.6878 | Test 0.5702
Run 00 | Epoch 00210 | Loss 0.4064 | Train 0.6851 | Val 0.6826 | Test 0.5665
Run 00 | Epoch 00211 | Loss 0.3894 | Train 0.6861 | Val 0.6821 | Test 0.5667
Run 00 | Epoch 00212 | Loss 0.3990 | Train 0.6847 | Val 0.6782 | Test 0.5614
Run 00 | Epoch 00213 | Loss 0.4112 | Train 0.6891 | Val 0.6841 | Test 0.5652
Run 00 | Epoch 00214 | Loss 0.4067 | Train 0.6886 | Val 0.6829 | Test 0.5626
Run 00 | Epoch 00215 | Loss 0.4071 | Train 0.6878 | Val 0.6842 | Test 0.5653
Run 00 | Epoch 00216 | Loss 0.3960 | Train 0.6881 | Val 0.6833 | Test 0.5656
Run 00 | Epoch 00217 | Loss 0.4034 | Train 0.6915 | Val 0.6877 | Test 0.5676
Run 00 | Epoch 00218 | Loss 0.4054 | Train 0.6952 | Val 0.6905 | Test 0.5700
Run 00 | Epoch 00219 | Loss 0.4112 | Train 0.6832 | Val 0.6794 | Test 0.5612
Run 00 | Epoch 00220 | Loss 0.4004 | Train 0.6896 | Val 0.6850 | Test 0.5685
Run 00 | Epoch 00221 | Loss 0.4097 | Train 0.6929 | Val 0.6888 | Test 0.5683
Run 00 | Epoch 00222 | Loss 0.4021 | Train 0.6957 | Val 0.6936 | Test 0.5718
Run 00 | Epoch 00223 | Loss 0.4004 | Train 0.6997 | Val 0.6947 | Test 0.5734
Run 00 | Epoch 00224 | Loss 0.4076 | Train 0.6917 | Val 0.6885 | Test 0.5675
Run 00 | Epoch 00225 | Loss 0.4100 | Train 0.6910 | Val 0.6879 | Test 0.5711
Run 00 | Epoch 00226 | Loss 0.4149 | Train 0.6954 | Val 0.6910 | Test 0.5729
Run 00 | Epoch 00227 | Loss 0.4097 | Train 0.6850 | Val 0.6800 | Test 0.5649
Run 00 | Epoch 00228 | Loss 0.4146 | Train 0.6950 | Val 0.6903 | Test 0.5723
Run 00 | Epoch 00229 | Loss 0.3948 | Train 0.6922 | Val 0.6878 | Test 0.5716
Run 00 | Epoch 00230 | Loss 0.3966 | Train 0.6921 | Val 0.6892 | Test 0.5712
Run 00 | Epoch 00231 | Loss 0.4035 | Train 0.6852 | Val 0.6824 | Test 0.5682
Run 00 | Epoch 00232 | Loss 0.3927 | Train 0.6866 | Val 0.6841 | Test 0.5679
Run 00 | Epoch 00233 | Loss 0.3913 | Train 0.6921 | Val 0.6890 | Test 0.5718
Run 00 | Epoch 00234 | Loss 0.3967 | Train 0.6968 | Val 0.6920 | Test 0.5761
Run 00 | Epoch 00235 | Loss 0.4079 | Train 0.6895 | Val 0.6860 | Test 0.5723
Run 00 | Epoch 00236 | Loss 0.4169 | Train 0.6876 | Val 0.6833 | Test 0.5689
Run 00 | Epoch 00237 | Loss 0.4090 | Train 0.6899 | Val 0.6857 | Test 0.5699
